Date,EUR/USD Close,EUR/USD High,EUR/USD Low
2/25/2014,1.3742,1.3767,1.3713
2/26/2014,1.3685,1.3757,1.3659
2/27/2014,1.3707,1.3727,1.364
2/28/2014,1.3806,1.3825,1.369
3/3/2014,1.3729,1.3793,1.3723
3/4/2014,1.3738,1.3782,1.3718
3/5/2014,1.3732,1.3749,1.3705
3/6/2014,1.3859,1.3873,1.3719
3/7/2014,1.3869,1.3915,1.385
3/10/2014,1.3869,1.3898,1.3858
3/11/2014,1.3864,1.3879,1.3831
3/12/2014,1.3906,1.3915,1.3841
3/13/2014,1.3859,1.3967,1.3843
3/14/2014,1.3908,1.3937,1.3845
3/17/2014,1.3923,1.3947,1.3877
3/18/2014,1.3934,1.3943,1.3878
3/19/2014,1.3829,1.3934,1.3808
3/20/2014,1.3775,1.3845,1.3747
3/21/2014,1.3796,1.3811,1.3763
3/24/2014,1.384,1.3876,1.3758
3/25/2014,1.3824,1.3847,1.3747
3/26/2014,1.3793,1.3828,1.3774
3/27/2014,1.3744,1.3797,1.3726
3/28/2014,1.375,1.3773,1.3703
3/31/2014,1.3781,1.3809,1.3721
4/1/2014,1.3793,1.3815,1.3767
4/2/2014,1.3762,1.382,1.375
4/3/2014,1.3715,1.3807,1.3695
4/4/2014,1.3705,1.3731,1.367
4/7/2014,1.3743,1.375,1.3694
4/8/2014,1.3794,1.3812,1.3734
4/9/2014,1.3851,1.3858,1.3777
4/10/2014,1.3887,1.39,1.3833
4/11/2014,1.3882,1.3906,1.386
4/14/2014,1.382,1.3863,1.3806
4/15/2014,1.3813,1.3833,1.3788
4/16/2014,1.3813,1.3851,1.3801
4/17/2014,1.3814,1.3865,1.3808
4/18/2014,1.3818,1.3822,1.3806
4/21/2014,1.3793,1.383,1.3785
4/22/2014,1.3804,1.3825,1.3782
4/23/2014,1.3816,1.3855,1.3798
4/24/2014,1.3827,1.3843,1.3788
4/25/2014,1.3832,1.385,1.3825
4/28/2014,1.3848,1.388,1.3813
4/29/2014,1.3811,1.388,1.3802
4/30/2014,1.387,1.3877,1.3772
5/1/2014,1.3865,1.3889,1.3859
5/2/2014,1.387,1.3881,1.381
5/5/2014,1.3876,1.3886,1.3862
5/6/2014,1.3928,1.3951,1.3869
5/7/2014,1.3912,1.394,1.3909
5/8/2014,1.3852,1.3993,1.3847
5/9/2014,1.3754,1.3844,1.3744
5/12/2014,1.3757,1.3775,1.3747
5/13/2014,1.3701,1.3772,1.3687
5/14/2014,1.371,1.3731,1.3694
5/15/2014,1.371,1.3733,1.3646
5/16/2014,1.37,1.3727,1.3682
5/19/2014,1.3709,1.3734,1.3692
5/20/2014,1.3698,1.3714,1.3675
5/21/2014,1.3685,1.3723,1.3633
5/22/2014,1.3654,1.3688,1.3643
5/23/2014,1.363,1.3656,1.3613
5/26/2014,1.3645,1.3654,1.3611
5/27/2014,1.3636,1.3669,1.361
5/28/2014,1.3594,1.364,1.3587
5/29/2014,1.3602,1.3626,1.3584
5/30/2014,1.3631,1.365,1.3596
6/2/2014,1.3597,1.3643,1.3586
6/3/2014,1.3625,1.3648,1.3585
6/4/2014,1.3599,1.364,1.3594
6/5/2014,1.3653,1.367,1.3501
6/6/2014,1.3644,1.3677,1.3618
6/9/2014,1.3587,1.367,1.358
6/10/2014,1.3545,1.3602,1.353
6/11/2014,1.3529,1.3557,1.3518
6/12/2014,1.3564,1.3572,1.3509
6/13/2014,1.3538,1.358,1.3518
6/16/2014,1.357,1.358,1.3511
6/17/2014,1.3543,1.3587,1.3534
6/18/2014,1.358,1.3599,1.3538
6/19/2014,1.3602,1.3643,1.3581
6/20/2014,1.3595,1.3634,1.3562
6/23/2014,1.3603,1.3614,1.3571
6/24/2014,1.3601,1.3628,1.3581
6/25/2014,1.363,1.3651,1.3598
6/26/2014,1.3607,1.3641,1.3574
6/27/2014,1.3646,1.3648,1.3607
6/30/2014,1.3693,1.3698,1.3637
7/1/2014,1.3677,1.3701,1.3673
7/2/2014,1.3655,1.3683,1.3639
7/3/2014,1.3603,1.3664,1.3594
7/4/2014,1.3594,1.3611,1.3582
7/7/2014,1.3607,1.3609,1.3573
7/8/2014,1.3612,1.362,1.3585
7/9/2014,1.3644,1.3648,1.3599
7/10/2014,1.3603,1.3651,1.3587
7/11/2014,1.3608,1.3625,1.359
7/14/2014,1.3619,1.364,1.3595
7/15/2014,1.3567,1.363,1.3559
7/16/2014,1.3523,1.3571,1.3521
7/17/2014,1.3528,1.354,1.3517
7/18/2014,1.3526,1.3536,1.3491
7/21/2014,1.3521,1.3549,1.3513
7/22/2014,1.3468,1.353,1.3459
7/23/2014,1.346,1.3474,1.3455
7/24/2014,1.3463,1.3485,1.3438
7/25/2014,1.3432,1.3476,1.3422
7/28/2014,1.3433,1.3444,1.3427
7/29/2014,1.341,1.3445,1.3404
7/30/2014,1.3393,1.3415,1.3367
